source,year,expected_kind,priority,expected_file,status,path,target_path,official_url,source_hint
SINAN/SIFCBR,2019,sifilis_congenita,obrigatorio,SIFCBR19.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR19.dbc ou data\raw\SIFCBR19.dbc,data\raw\sinan\sifilis_congenita\SIFCBR19.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2019,nascidos_vivos,obrigatorio,DNRS2019.dbc,ausente,data\raw\sinasc\DNRS2019.dbc ou data\raw\sinasc\DNRS19.dbc,data\raw\sinasc\DNRS2019.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2020,sifilis_congenita,obrigatorio,SIFCBR20.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR20.dbc ou data\raw\SIFCBR20.dbc,data\raw\sinan\sifilis_congenita\SIFCBR20.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2020,nascidos_vivos,obrigatorio,DNRS2020.dbc,ausente,data\raw\sinasc\DNRS2020.dbc ou data\raw\sinasc\DNRS20.dbc,data\raw\sinasc\DNRS2020.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2021,sifilis_congenita,obrigatorio,SIFCBR21.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR21.dbc ou data\raw\SIFCBR21.dbc,data\raw\sinan\sifilis_congenita\SIFCBR21.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2021,nascidos_vivos,obrigatorio,DNRS2021.dbc,ausente,data\raw\sinasc\DNRS2021.dbc ou data\raw\sinasc\DNRS21.dbc,data\raw\sinasc\DNRS2021.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2022,sifilis_congenita,obrigatorio,SIFCBR22.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR22.dbc ou data\raw\SIFCBR22.dbc,data\raw\sinan\sifilis_congenita\SIFCBR22.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2022,nascidos_vivos,obrigatorio,DNRS2022.dbc,ausente,data\raw\sinasc\DNRS2022.dbc ou data\raw\sinasc\DNRS22.dbc,data\raw\sinasc\DNRS2022.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2023,sifilis_congenita,obrigatorio,SIFCBR23.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR23.dbc ou data\raw\SIFCBR23.dbc,data\raw\sinan\sifilis_congenita\SIFCBR23.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2023,nascidos_vivos,obrigatorio,DNRS2023.dbc,ausente,data\raw\sinasc\DNRS2023.dbc ou data\raw\sinasc\DNRS23.dbc,data\raw\sinasc\DNRS2023.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
