source,year,expected_kind,status,path
SINAN/SIFCBR,2021,sifilis_congenita,ausente,data\raw\sinan\sifilis_congenita\SIFCBR21.dbc ou data\raw\SIFCBR21.dbc
SINASC,2021,nascidos_vivos,ausente,data\raw\sinasc\DNRS2021.dbc ou data\raw\sinasc\DNRS21.dbc
CNES/ST,2021,estabelecimentos_dezembro,ausente,data\raw\cnes\st\STRS2112.dbc ou data\raw\cnes\STRS2112.dbc
SIM/DO,2021,obitos_gerais,ausente,data\raw\sim\do\DORS2021.dbc ou data\raw\sim\do\DORS21.dbc ou data\raw\sim\DORS2021.dbc ou data\raw\sim\DORS21.dbc
SINAN/SIFCBR,2022,sifilis_congenita,ausente,data\raw\sinan\sifilis_congenita\SIFCBR22.dbc ou data\raw\SIFCBR22.dbc
SINASC,2022,nascidos_vivos,ausente,data\raw\sinasc\DNRS2022.dbc ou data\raw\sinasc\DNRS22.dbc
CNES/ST,2022,estabelecimentos_dezembro,ausente,data\raw\cnes\st\STRS2212.dbc ou data\raw\cnes\STRS2212.dbc
SIM/DO,2022,obitos_gerais,ausente,data\raw\sim\do\DORS2022.dbc ou data\raw\sim\do\DORS22.dbc ou data\raw\sim\DORS2022.dbc ou data\raw\sim\DORS22.dbc
SINAN/SIFCBR,2023,sifilis_congenita,ausente,data\raw\sinan\sifilis_congenita\SIFCBR23.dbc ou data\raw\SIFCBR23.dbc
SINASC,2023,nascidos_vivos,ausente,data\raw\sinasc\DNRS2023.dbc ou data\raw\sinasc\DNRS23.dbc
CNES/ST,2023,estabelecimentos_dezembro,ausente,data\raw\cnes\st\STRS2312.dbc ou data\raw\cnes\STRS2312.dbc
SIM/DO,2023,obitos_gerais,ausente,data\raw\sim\do\DORS2023.dbc ou data\raw\sim\do\DORS23.dbc ou data\raw\sim\DORS2023.dbc ou data\raw\sim\DORS23.dbc
SINAN/SIFCBR,2024,sifilis_congenita,presente,data\raw\SIFCBR24.dbc
SINASC,2024,nascidos_vivos,presente,data\raw\sinasc\DNRS2024.dbc
CNES/ST,2024,estabelecimentos_dezembro,presente,data\raw\cnes\STRS2412.dbc
SIM/DO,2024,obitos_gerais,presente,data\raw\sim\DORS2024.dbc
