base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Populacao DATASUS,POPSBR18.zip,2018,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR18.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop18.dbf,2018,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR18.zip::pop18.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR19.zip,2019,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR19.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop19.dbf,2019,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR19.zip::pop19.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR20.zip,2020,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR20.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop20.dbf,2020,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR20.zip::pop20.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR21.zip,2021,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR21.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,pop21.dbf,2021,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR21.zip::pop21.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR22.zip,2022,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR22.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POP22.dbf,2022,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR22.zip::POP22.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR23.zip,2023,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR23.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POP23.dbf,2023,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPSBR23.zip::POP23.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPSBR24.zip,2024,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPSBR24.zip,Base complementar; nao substitui o denominador SINASC.
