base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
CNES,EPRS1703.dbc,2017,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS1703.dbc,Fora do recorte principal de CNES.
CNES,EPRS1704.dbc,2017,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS1704.dbc,Fora do recorte principal de CNES.
CNES,EPRS1705.dbc,2017,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS1705.dbc,Fora do recorte principal de CNES.
CNES,EPRS1706.dbc,2017,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS1706.dbc,Fora do recorte principal de CNES.
CNES,EPRS1707.dbc,2017,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS1707.dbc,Fora do recorte principal de CNES.
CNES,EPRS1708.dbc,2017,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS1708.dbc,Fora do recorte principal de CNES.
CNES,EPRS1709.dbc,2017,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS1709.dbc,Fora do recorte principal de CNES.
CNES,EPRS1710.dbc,2017,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS1710.dbc,Fora do recorte principal de CNES.
CNES,EPRS1711.dbc,2017,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS1711.dbc,Fora do recorte principal de CNES.
CNES,EPRS1801.dbc,2018,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS1801.dbc,Fora do recorte principal de CNES.
CNES,EPRS1802.dbc,2018,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS1802.dbc,Fora do recorte principal de CNES.
CNES,EPRS1803.dbc,2018,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS1803.dbc,Fora do recorte principal de CNES.
CNES,EPRS1804.dbc,2018,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS1804.dbc,Fora do recorte principal de CNES.
CNES,EPRS1805.dbc,2018,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS1805.dbc,Fora do recorte principal de CNES.
CNES,EPRS1806.dbc,2018,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS1806.dbc,Fora do recorte principal de CNES.
CNES,EPRS1807.dbc,2018,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS1807.dbc,Fora do recorte principal de CNES.
CNES,EPRS1808.dbc,2018,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS1808.dbc,Fora do recorte principal de CNES.
CNES,EPRS1809.dbc,2018,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS1809.dbc,Fora do recorte principal de CNES.
CNES,EPRS1810.dbc,2018,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS1810.dbc,Fora do recorte principal de CNES.
CNES,EPRS1811.dbc,2018,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS1811.dbc,Fora do recorte principal de CNES.
CNES,EPRS1901.dbc,2019,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS1901.dbc,Fora do recorte principal de CNES.
CNES,EPRS1902.dbc,2019,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS1902.dbc,Fora do recorte principal de CNES.
CNES,EPRS1903.dbc,2019,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS1903.dbc,Fora do recorte principal de CNES.
CNES,EPRS1904.dbc,2019,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS1904.dbc,Fora do recorte principal de CNES.
CNES,EPRS1905.dbc,2019,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS1905.dbc,Fora do recorte principal de CNES.
CNES,EPRS1906.dbc,2019,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS1906.dbc,Fora do recorte principal de CNES.
CNES,EPRS1907.dbc,2019,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS1907.dbc,Fora do recorte principal de CNES.
CNES,EPRS1908.dbc,2019,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS1908.dbc,Fora do recorte principal de CNES.
CNES,EPRS1909.dbc,2019,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS1909.dbc,Fora do recorte principal de CNES.
CNES,EPRS1910.dbc,2019,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS1910.dbc,Fora do recorte principal de CNES.
CNES,EPRS1911.dbc,2019,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS1911.dbc,Fora do recorte principal de CNES.
CNES,EPRS2001.dbc,2020,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2001.dbc,Fora do recorte principal de CNES.
CNES,EPRS2002.dbc,2020,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2002.dbc,Fora do recorte principal de CNES.
CNES,EPRS2003.dbc,2020,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2003.dbc,Fora do recorte principal de CNES.
CNES,EPRS2004.dbc,2020,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2004.dbc,Fora do recorte principal de CNES.
CNES,EPRS2005.dbc,2020,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2005.dbc,Fora do recorte principal de CNES.
CNES,EPRS2006.dbc,2020,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2006.dbc,Fora do recorte principal de CNES.
CNES,EPRS2007.dbc,2020,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2007.dbc,Fora do recorte principal de CNES.
CNES,EPRS2008.dbc,2020,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2008.dbc,Fora do recorte principal de CNES.
CNES,EPRS2009.dbc,2020,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2009.dbc,Fora do recorte principal de CNES.
CNES,EPRS2010.dbc,2020,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2010.dbc,Fora do recorte principal de CNES.
CNES,EPRS2011.dbc,2020,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2011.dbc,Fora do recorte principal de CNES.
CNES,EPRS2101.dbc,2021,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2101.dbc,Fora do recorte principal de CNES.
CNES,EPRS2102.dbc,2021,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2102.dbc,Fora do recorte principal de CNES.
CNES,EPRS2103.dbc,2021,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2103.dbc,Fora do recorte principal de CNES.
CNES,EPRS2104.dbc,2021,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2104.dbc,Fora do recorte principal de CNES.
CNES,EPRS2105.dbc,2021,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2105.dbc,Fora do recorte principal de CNES.
CNES,EPRS2106.dbc,2021,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2106.dbc,Fora do recorte principal de CNES.
CNES,EPRS2107.dbc,2021,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2107.dbc,Fora do recorte principal de CNES.
CNES,EPRS2108.dbc,2021,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2108.dbc,Fora do recorte principal de CNES.
CNES,EPRS2109.dbc,2021,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2109.dbc,Fora do recorte principal de CNES.
CNES,EPRS2110.dbc,2021,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2110.dbc,Fora do recorte principal de CNES.
CNES,EPRS2111.dbc,2021,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2111.dbc,Fora do recorte principal de CNES.
CNES,EPRS2201.dbc,2022,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2201.dbc,Fora do recorte principal de CNES.
CNES,EPRS2202.dbc,2022,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2202.dbc,Fora do recorte principal de CNES.
CNES,EPRS2203.dbc,2022,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2203.dbc,Fora do recorte principal de CNES.
CNES,EPRS2204.dbc,2022,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2204.dbc,Fora do recorte principal de CNES.
CNES,EPRS2205.dbc,2022,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2205.dbc,Fora do recorte principal de CNES.
CNES,EPRS2206.dbc,2022,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2206.dbc,Fora do recorte principal de CNES.
CNES,EPRS2207.dbc,2022,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2207.dbc,Fora do recorte principal de CNES.
CNES,EPRS2208.dbc,2022,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2208.dbc,Fora do recorte principal de CNES.
CNES,EPRS2209.dbc,2022,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2209.dbc,Fora do recorte principal de CNES.
CNES,EPRS2210.dbc,2022,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2210.dbc,Fora do recorte principal de CNES.
CNES,EPRS2211.dbc,2022,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2211.dbc,Fora do recorte principal de CNES.
CNES,EPRS2301.dbc,2023,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2301.dbc,Fora do recorte principal de CNES.
CNES,EPRS2302.dbc,2023,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2302.dbc,Fora do recorte principal de CNES.
CNES,EPRS2303.dbc,2023,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2303.dbc,Fora do recorte principal de CNES.
CNES,EPRS2304.dbc,2023,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2304.dbc,Fora do recorte principal de CNES.
CNES,EPRS2305.dbc,2023,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2305.dbc,Fora do recorte principal de CNES.
CNES,EPRS2306.dbc,2023,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2306.dbc,Fora do recorte principal de CNES.
CNES,EPRS2307.dbc,2023,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2307.dbc,Fora do recorte principal de CNES.
CNES,EPRS2308.dbc,2023,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2308.dbc,Fora do recorte principal de CNES.
CNES,EPRS2309.dbc,2023,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2309.dbc,Fora do recorte principal de CNES.
CNES,EPRS2310.dbc,2023,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2310.dbc,Fora do recorte principal de CNES.
CNES,EPRS2311.dbc,2023,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2311.dbc,Fora do recorte principal de CNES.
CNES,EPRS2401.dbc,2024,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2401.dbc,Fora do recorte principal de CNES.
CNES,EPRS2402.dbc,2024,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2402.dbc,Fora do recorte principal de CNES.
CNES,EPRS2403.dbc,2024,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2403.dbc,Fora do recorte principal de CNES.
CNES,EPRS2404.dbc,2024,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2404.dbc,Fora do recorte principal de CNES.
CNES,EPRS2405.dbc,2024,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2405.dbc,Fora do recorte principal de CNES.
CNES,EPRS2406.dbc,2024,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2406.dbc,Fora do recorte principal de CNES.
CNES,EPRS2407.dbc,2024,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2407.dbc,Fora do recorte principal de CNES.
CNES,EPRS2408.dbc,2024,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2408.dbc,Fora do recorte principal de CNES.
CNES,EPRS2409.dbc,2024,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2409.dbc,Fora do recorte principal de CNES.
CNES,EPRS2410.dbc,2024,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2410.dbc,Fora do recorte principal de CNES.
CNES,EPRS2411.dbc,2024,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2411.dbc,Fora do recorte principal de CNES.
CNES,EPRS2501.dbc,2025,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2501.dbc,Fora do recorte principal de CNES.
CNES,EPRS2502.dbc,2025,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2502.dbc,Fora do recorte principal de CNES.
CNES,EPRS2503.dbc,2025,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2503.dbc,Fora do recorte principal de CNES.
CNES,EPRS2504.dbc,2025,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2504.dbc,Fora do recorte principal de CNES.
CNES,EPRS2505.dbc,2025,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2505.dbc,Fora do recorte principal de CNES.
CNES,EPRS2506.dbc,2025,RS,ep_mes_06,DBC,ignorado,data/ignored/cnes/EPRS2506.dbc,Fora do recorte principal de CNES.
CNES,EPRS2507.dbc,2025,RS,ep_mes_07,DBC,ignorado,data/ignored/cnes/EPRS2507.dbc,Fora do recorte principal de CNES.
CNES,EPRS2508.dbc,2025,RS,ep_mes_08,DBC,ignorado,data/ignored/cnes/EPRS2508.dbc,Fora do recorte principal de CNES.
CNES,EPRS2509.dbc,2025,RS,ep_mes_09,DBC,ignorado,data/ignored/cnes/EPRS2509.dbc,Fora do recorte principal de CNES.
CNES,EPRS2510.dbc,2025,RS,ep_mes_10,DBC,ignorado,data/ignored/cnes/EPRS2510.dbc,Fora do recorte principal de CNES.
CNES,EPRS2511.dbc,2025,RS,ep_mes_11,DBC,ignorado,data/ignored/cnes/EPRS2511.dbc,Fora do recorte principal de CNES.
CNES,EPRS2512.dbc,2025,RS,ep_mes_12,DBC,ignorado,data/ignored/cnes/EPRS2512.dbc,Fora do recorte principal de CNES.
CNES,EPRS2601.dbc,2026,RS,ep_mes_01,DBC,ignorado,data/ignored/cnes/EPRS2601.dbc,Fora do recorte principal de CNES.
CNES,EPRS2602.dbc,2026,RS,ep_mes_02,DBC,ignorado,data/ignored/cnes/EPRS2602.dbc,Fora do recorte principal de CNES.
CNES,EPRS2603.dbc,2026,RS,ep_mes_03,DBC,ignorado,data/ignored/cnes/EPRS2603.dbc,Fora do recorte principal de CNES.
CNES,EPRS2604.dbc,2026,RS,ep_mes_04,DBC,ignorado,data/ignored/cnes/EPRS2604.dbc,Fora do recorte principal de CNES.
CNES,EPRS2605.dbc,2026,RS,ep_mes_05,DBC,ignorado,data/ignored/cnes/EPRS2605.dbc,Fora do recorte principal de CNES.
CNES,LTRS0510.dbc,2005,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS0510.dbc,Fora do recorte principal de CNES.
CNES,LTRS0511.dbc,2005,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS0511.dbc,Fora do recorte principal de CNES.
CNES,LTRS0512.dbc,2005,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS0512.dbc,Fora do recorte principal de CNES.
CNES,LTRS0601.dbc,2006,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS0601.dbc,Fora do recorte principal de CNES.
CNES,LTRS0602.dbc,2006,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS0602.dbc,Fora do recorte principal de CNES.
CNES,LTRS0603.dbc,2006,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS0603.dbc,Fora do recorte principal de CNES.
CNES,LTRS0604.dbc,2006,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS0604.dbc,Fora do recorte principal de CNES.
CNES,LTRS0605.dbc,2006,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS0605.dbc,Fora do recorte principal de CNES.
CNES,LTRS0606.dbc,2006,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS0606.dbc,Fora do recorte principal de CNES.
CNES,LTRS0607.dbc,2006,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS0607.dbc,Fora do recorte principal de CNES.
CNES,LTRS0608.dbc,2006,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS0608.dbc,Fora do recorte principal de CNES.
CNES,LTRS0609.dbc,2006,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS0609.dbc,Fora do recorte principal de CNES.
CNES,LTRS0610.dbc,2006,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS0610.dbc,Fora do recorte principal de CNES.
CNES,LTRS0611.dbc,2006,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS0611.dbc,Fora do recorte principal de CNES.
CNES,LTRS0612.dbc,2006,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS0612.dbc,Fora do recorte principal de CNES.
CNES,LTRS0701.dbc,2007,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS0701.dbc,Fora do recorte principal de CNES.
CNES,LTRS0702.dbc,2007,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS0702.dbc,Fora do recorte principal de CNES.
CNES,LTRS0703.dbc,2007,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS0703.dbc,Fora do recorte principal de CNES.
CNES,LTRS0704.dbc,2007,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS0704.dbc,Fora do recorte principal de CNES.
CNES,LTRS0705.dbc,2007,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS0705.dbc,Fora do recorte principal de CNES.
CNES,LTRS0706.dbc,2007,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS0706.dbc,Fora do recorte principal de CNES.
CNES,LTRS0707.dbc,2007,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS0707.dbc,Fora do recorte principal de CNES.
CNES,LTRS0708.dbc,2007,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS0708.dbc,Fora do recorte principal de CNES.
CNES,LTRS0709.dbc,2007,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS0709.dbc,Fora do recorte principal de CNES.
CNES,LTRS0710.dbc,2007,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS0710.dbc,Fora do recorte principal de CNES.
CNES,LTRS0711.dbc,2007,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS0711.dbc,Fora do recorte principal de CNES.
CNES,LTRS0712.dbc,2007,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS0712.dbc,Fora do recorte principal de CNES.
CNES,LTRS0801.dbc,2008,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS0801.dbc,Fora do recorte principal de CNES.
CNES,LTRS0802.dbc,2008,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS0802.dbc,Fora do recorte principal de CNES.
CNES,LTRS0803.dbc,2008,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS0803.dbc,Fora do recorte principal de CNES.
CNES,LTRS0804.dbc,2008,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS0804.dbc,Fora do recorte principal de CNES.
CNES,LTRS0805.dbc,2008,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS0805.dbc,Fora do recorte principal de CNES.
CNES,LTRS0806.dbc,2008,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS0806.dbc,Fora do recorte principal de CNES.
CNES,LTRS0807.dbc,2008,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS0807.dbc,Fora do recorte principal de CNES.
CNES,LTRS0808.dbc,2008,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS0808.dbc,Fora do recorte principal de CNES.
CNES,LTRS0809.dbc,2008,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS0809.dbc,Fora do recorte principal de CNES.
CNES,LTRS0810.dbc,2008,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS0810.dbc,Fora do recorte principal de CNES.
CNES,LTRS0811.dbc,2008,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS0811.dbc,Fora do recorte principal de CNES.
CNES,LTRS0812.dbc,2008,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS0812.dbc,Fora do recorte principal de CNES.
CNES,LTRS0901.dbc,2009,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS0901.dbc,Fora do recorte principal de CNES.
CNES,LTRS0902.dbc,2009,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS0902.dbc,Fora do recorte principal de CNES.
CNES,LTRS0903.dbc,2009,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS0903.dbc,Fora do recorte principal de CNES.
CNES,LTRS0904.dbc,2009,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS0904.dbc,Fora do recorte principal de CNES.
CNES,LTRS0905.dbc,2009,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS0905.dbc,Fora do recorte principal de CNES.
CNES,LTRS0906.dbc,2009,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS0906.dbc,Fora do recorte principal de CNES.
CNES,LTRS0907.dbc,2009,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS0907.dbc,Fora do recorte principal de CNES.
CNES,LTRS0908.dbc,2009,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS0908.dbc,Fora do recorte principal de CNES.
CNES,LTRS0909.dbc,2009,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS0909.dbc,Fora do recorte principal de CNES.
CNES,LTRS0910.dbc,2009,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS0910.dbc,Fora do recorte principal de CNES.
CNES,LTRS0911.dbc,2009,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS0911.dbc,Fora do recorte principal de CNES.
CNES,LTRS0912.dbc,2009,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS0912.dbc,Fora do recorte principal de CNES.
CNES,LTRS1001.dbc,2010,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS1001.dbc,Fora do recorte principal de CNES.
CNES,LTRS1002.dbc,2010,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS1002.dbc,Fora do recorte principal de CNES.
CNES,LTRS1003.dbc,2010,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS1003.dbc,Fora do recorte principal de CNES.
CNES,LTRS1004.dbc,2010,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS1004.dbc,Fora do recorte principal de CNES.
CNES,LTRS1005.dbc,2010,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS1005.dbc,Fora do recorte principal de CNES.
CNES,LTRS1006.dbc,2010,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS1006.dbc,Fora do recorte principal de CNES.
CNES,LTRS1007.dbc,2010,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS1007.dbc,Fora do recorte principal de CNES.
CNES,LTRS1008.dbc,2010,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS1008.dbc,Fora do recorte principal de CNES.
CNES,LTRS1009.dbc,2010,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS1009.dbc,Fora do recorte principal de CNES.
CNES,LTRS1010.dbc,2010,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS1010.dbc,Fora do recorte principal de CNES.
CNES,LTRS1011.dbc,2010,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS1011.dbc,Fora do recorte principal de CNES.
CNES,LTRS1012.dbc,2010,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS1012.dbc,Fora do recorte principal de CNES.
CNES,LTRS1101.dbc,2011,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS1101.dbc,Fora do recorte principal de CNES.
CNES,LTRS1102.dbc,2011,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS1102.dbc,Fora do recorte principal de CNES.
CNES,LTRS1103.dbc,2011,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS1103.dbc,Fora do recorte principal de CNES.
CNES,LTRS1104.dbc,2011,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS1104.dbc,Fora do recorte principal de CNES.
CNES,LTRS1105.dbc,2011,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS1105.dbc,Fora do recorte principal de CNES.
CNES,LTRS1106.dbc,2011,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS1106.dbc,Fora do recorte principal de CNES.
CNES,LTRS1107.dbc,2011,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS1107.dbc,Fora do recorte principal de CNES.
CNES,LTRS1108.dbc,2011,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS1108.dbc,Fora do recorte principal de CNES.
CNES,LTRS1109.dbc,2011,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS1109.dbc,Fora do recorte principal de CNES.
CNES,LTRS1110.dbc,2011,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS1110.dbc,Fora do recorte principal de CNES.
CNES,LTRS1111.dbc,2011,RS,lt_mes_11,DBC,ignorado,data/ignored/cnes/LTRS1111.dbc,Fora do recorte principal de CNES.
CNES,LTRS1112.dbc,2011,RS,lt_mes_12,DBC,ignorado,data/ignored/cnes/LTRS1112.dbc,Fora do recorte principal de CNES.
CNES,LTRS1201.dbc,2012,RS,lt_mes_01,DBC,ignorado,data/ignored/cnes/LTRS1201.dbc,Fora do recorte principal de CNES.
CNES,LTRS1202.dbc,2012,RS,lt_mes_02,DBC,ignorado,data/ignored/cnes/LTRS1202.dbc,Fora do recorte principal de CNES.
CNES,LTRS1203.dbc,2012,RS,lt_mes_03,DBC,ignorado,data/ignored/cnes/LTRS1203.dbc,Fora do recorte principal de CNES.
CNES,LTRS1204.dbc,2012,RS,lt_mes_04,DBC,ignorado,data/ignored/cnes/LTRS1204.dbc,Fora do recorte principal de CNES.
CNES,LTRS1205.dbc,2012,RS,lt_mes_05,DBC,ignorado,data/ignored/cnes/LTRS1205.dbc,Fora do recorte principal de CNES.
CNES,LTRS1206.dbc,2012,RS,lt_mes_06,DBC,ignorado,data/ignored/cnes/LTRS1206.dbc,Fora do recorte principal de CNES.
CNES,LTRS1207.dbc,2012,RS,lt_mes_07,DBC,ignorado,data/ignored/cnes/LTRS1207.dbc,Fora do recorte principal de CNES.
CNES,LTRS1208.dbc,2012,RS,lt_mes_08,DBC,ignorado,data/ignored/cnes/LTRS1208.dbc,Fora do recorte principal de CNES.
CNES,LTRS1209.dbc,2012,RS,lt_mes_09,DBC,ignorado,data/ignored/cnes/LTRS1209.dbc,Fora do recorte principal de CNES.
CNES,LTRS1210.dbc,2012,RS,lt_mes_10,DBC,ignorado,data/ignored/cnes/LTRS1210.dbc,Fora do recorte principal de CNES.
