source,year,expected_kind,priority,expected_file,status,path,target_path,official_url,source_hint
CNES/ST,2016,estabelecimentos_dezembro,complementar,STRS1612.dbc,ausente,data/raw/cnes/st/STRS1612.dbc ou data/raw/cnes/STRS1612.dbc,data/raw/cnes/st/STRS1612.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2016,obitos_gerais,complementar,DORS2016.dbc,ausente,data/raw/sim/do/DORS2016.dbc ou data/raw/sim/do/DORS16.dbc ou data/raw/sim/DORS2016.dbc ou data/raw/sim/DORS16.dbc,data/raw/sim/do/DORS2016.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2017,sifilis_congenita,obrigatorio,SIFCBR17.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR17.dbc ou data/raw/SIFCBR17.dbc,data/raw/sinan/sifilis_congenita/SIFCBR17.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2017,nascidos_vivos,obrigatorio,DNRS2017.dbc,ausente,data/raw/sinasc/DNRS2017.dbc ou data/raw/sinasc/DNRS17.dbc,data/raw/sinasc/DNRS2017.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2017,estabelecimentos_dezembro,complementar,STRS1712.dbc,ausente,data/raw/cnes/st/STRS1712.dbc ou data/raw/cnes/STRS1712.dbc,data/raw/cnes/st/STRS1712.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2017,obitos_gerais,complementar,DORS2017.dbc,ausente,data/raw/sim/do/DORS2017.dbc ou data/raw/sim/do/DORS17.dbc ou data/raw/sim/DORS2017.dbc ou data/raw/sim/DORS17.dbc,data/raw/sim/do/DORS2017.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2018,sifilis_congenita,obrigatorio,SIFCBR18.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR18.dbc ou data/raw/SIFCBR18.dbc,data/raw/sinan/sifilis_congenita/SIFCBR18.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2018,nascidos_vivos,obrigatorio,DNRS2018.dbc,ausente,data/raw/sinasc/DNRS2018.dbc ou data/raw/sinasc/DNRS18.dbc,data/raw/sinasc/DNRS2018.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2018,estabelecimentos_dezembro,complementar,STRS1812.dbc,ausente,data/raw/cnes/st/STRS1812.dbc ou data/raw/cnes/STRS1812.dbc,data/raw/cnes/st/STRS1812.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2018,obitos_gerais,complementar,DORS2018.dbc,ausente,data/raw/sim/do/DORS2018.dbc ou data/raw/sim/do/DORS18.dbc ou data/raw/sim/DORS2018.dbc ou data/raw/sim/DORS18.dbc,data/raw/sim/do/DORS2018.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2019,sifilis_congenita,obrigatorio,SIFCBR19.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR19.dbc ou data/raw/SIFCBR19.dbc,data/raw/sinan/sifilis_congenita/SIFCBR19.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2019,nascidos_vivos,obrigatorio,DNRS2019.dbc,ausente,data/raw/sinasc/DNRS2019.dbc ou data/raw/sinasc/DNRS19.dbc,data/raw/sinasc/DNRS2019.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2019,estabelecimentos_dezembro,complementar,STRS1912.dbc,ausente,data/raw/cnes/st/STRS1912.dbc ou data/raw/cnes/STRS1912.dbc,data/raw/cnes/st/STRS1912.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2019,obitos_gerais,complementar,DORS2019.dbc,ausente,data/raw/sim/do/DORS2019.dbc ou data/raw/sim/do/DORS19.dbc ou data/raw/sim/DORS2019.dbc ou data/raw/sim/DORS19.dbc,data/raw/sim/do/DORS2019.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2020,sifilis_congenita,obrigatorio,SIFCBR20.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR20.dbc ou data/raw/SIFCBR20.dbc,data/raw/sinan/sifilis_congenita/SIFCBR20.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2020,nascidos_vivos,obrigatorio,DNRS2020.dbc,ausente,data/raw/sinasc/DNRS2020.dbc ou data/raw/sinasc/DNRS20.dbc,data/raw/sinasc/DNRS2020.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2020,estabelecimentos_dezembro,complementar,STRS2012.dbc,ausente,data/raw/cnes/st/STRS2012.dbc ou data/raw/cnes/STRS2012.dbc,data/raw/cnes/st/STRS2012.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2020,obitos_gerais,complementar,DORS2020.dbc,ausente,data/raw/sim/do/DORS2020.dbc ou data/raw/sim/do/DORS20.dbc ou data/raw/sim/DORS2020.dbc ou data/raw/sim/DORS20.dbc,data/raw/sim/do/DORS2020.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2021,sifilis_congenita,obrigatorio,SIFCBR21.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR21.dbc ou data/raw/SIFCBR21.dbc,data/raw/sinan/sifilis_congenita/SIFCBR21.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2021,nascidos_vivos,obrigatorio,DNRS2021.dbc,ausente,data/raw/sinasc/DNRS2021.dbc ou data/raw/sinasc/DNRS21.dbc,data/raw/sinasc/DNRS2021.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2021,estabelecimentos_dezembro,complementar,STRS2112.dbc,ausente,data/raw/cnes/st/STRS2112.dbc ou data/raw/cnes/STRS2112.dbc,data/raw/cnes/st/STRS2112.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2021,obitos_gerais,complementar,DORS2021.dbc,ausente,data/raw/sim/do/DORS2021.dbc ou data/raw/sim/do/DORS21.dbc ou data/raw/sim/DORS2021.dbc ou data/raw/sim/DORS21.dbc,data/raw/sim/do/DORS2021.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2022,sifilis_congenita,obrigatorio,SIFCBR22.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR22.dbc ou data/raw/SIFCBR22.dbc,data/raw/sinan/sifilis_congenita/SIFCBR22.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2022,nascidos_vivos,obrigatorio,DNRS2022.dbc,ausente,data/raw/sinasc/DNRS2022.dbc ou data/raw/sinasc/DNRS22.dbc,data/raw/sinasc/DNRS2022.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2022,estabelecimentos_dezembro,complementar,STRS2212.dbc,ausente,data/raw/cnes/st/STRS2212.dbc ou data/raw/cnes/STRS2212.dbc,data/raw/cnes/st/STRS2212.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2022,obitos_gerais,complementar,DORS2022.dbc,ausente,data/raw/sim/do/DORS2022.dbc ou data/raw/sim/do/DORS22.dbc ou data/raw/sim/DORS2022.dbc ou data/raw/sim/DORS22.dbc,data/raw/sim/do/DORS2022.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2023,sifilis_congenita,obrigatorio,SIFCBR23.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR23.dbc ou data/raw/SIFCBR23.dbc,data/raw/sinan/sifilis_congenita/SIFCBR23.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2023,nascidos_vivos,obrigatorio,DNRS2023.dbc,ausente,data/raw/sinasc/DNRS2023.dbc ou data/raw/sinasc/DNRS23.dbc,data/raw/sinasc/DNRS2023.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2023,estabelecimentos_dezembro,complementar,STRS2312.dbc,ausente,data/raw/cnes/st/STRS2312.dbc ou data/raw/cnes/STRS2312.dbc,data/raw/cnes/st/STRS2312.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2023,obitos_gerais,complementar,DORS2023.dbc,ausente,data/raw/sim/do/DORS2023.dbc ou data/raw/sim/do/DORS23.dbc ou data/raw/sim/DORS2023.dbc ou data/raw/sim/DORS23.dbc,data/raw/sim/do/DORS2023.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
